Result Time,Granularity Period,Object Name,Reliability,"CR373:Cell In-Service Duration","R3710:Number of Cell BCCH Mutual Aids","R3711:Number of Recoveries after Cell BCCH Mutual Aids","R3720:Number of Cell Baseband Hopping Mutual Aids","R3721:Number of Recoveries after Cell Baseband Hopping Mutual Aids","R3722:Duration of Cell Turning off","R373:Cell Out-of-Service Duration","S3936U:Average Power Decrease on GSM 2.0 MHz Interfering Frequency","S3936V:Average Power Decrease on GSM 2.2 MHz Interfering Frequency","S3936W:Average Power Increase on GSM Non-Interfering Frequency","TR373:Cell Availability"
,Minutes,,,s,None,None,None,None,s,s,dB,dB,dB,%
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI834G2_URA_HUAYCAN, CellIndex=153, CGI=7160604122096",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI834G1_URA_HUAYCAN, CellIndex=152, CGI=7160604122095",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI659H3_HUARANGAL, CellIndex=151, CGI=71606041340D1",Reliable,0,0,0,0,0,0,3600,,,,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI659H2_HUARANGAL, CellIndex=150, CGI=71606041340D0",Reliable,0,0,0,0,0,0,3600,,,,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI659H1_HUARANGAL, CellIndex=149, CGI=71606041340CF",Reliable,0,0,0,0,0,0,3600,,,,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI659G3_HUARANGAL, CellIndex=148, CGI=716060413423E",Reliable,0,0,0,0,0,0,3600,,,,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI659G2_HUARANGAL, CellIndex=147, CGI=716060413423A",Reliable,0,0,0,0,0,0,3600,,,,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI659G1_HUARANGAL, CellIndex=146, CGI=71606041319BF",Reliable,0,0,0,0,0,0,3600,,,,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI911H3_HILARION, CellIndex=145, CGI=7160604114AA9",Unreliable,275,0,0,0,0,0,3325,,,,7.639
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI911H2_HILARION, CellIndex=144, CGI=7160604114AA8",Unreliable,275,0,0,0,0,0,3325,,,,7.639
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI911H1_HILARION, CellIndex=143, CGI=7160604114AA7",Unreliable,275,0,0,0,0,0,3325,,,,7.639
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI911G3_HILARION, CellIndex=142, CGI=7160604114239",Reliable,0,0,0,0,0,0,3600,,,,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI911G2_HILARION, CellIndex=141, CGI=7160604114238",Reliable,0,0,0,0,0,0,3600,,,,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI911G1_HILARION, CellIndex=140, CGI=71606041141C8",Reliable,0,0,0,0,0,0,3600,,,,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI648H3_GRANDE, CellIndex=139, CGI=7160604134063",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI648H2_GRANDE, CellIndex=138, CGI=7160604134062",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI910H3_FLORES, CellIndex=133, CGI=7160604114A9F",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI910H2_FLORES, CellIndex=132, CGI=7160604114A9E",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI910H1_FLORES, CellIndex=131, CGI=7160604114A9D",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI658H3_EL_TROME, CellIndex=127, CGI=71606041340C7",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI658H2_EL_TROME, CellIndex=126, CGI=71606041340C6",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI658H1_EL_TROME, CellIndex=125, CGI=71606041340C5",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI828H2_CONDORES, CellIndex=121, CGI=716060412476A",Reliable,0,0,0,0,0,0,3600,,,,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI828H1_CONDORES, CellIndex=120, CGI=7160604124769",Reliable,0,0,0,0,0,0,3600,,,,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI890H3_CLEMENTA_TORRES, CellIndex=117, CGI=71606041249D7",Reliable,0,0,0,0,0,0,3600,,,,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI890H2_CLEMENTA_TORRES, CellIndex=116, CGI=71606041249D6",Reliable,0,0,0,0,0,0,3600,,,,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI890H1_CLEMENTA_TORRES, CellIndex=115, CGI=71606041249D5",Reliable,0,0,0,0,0,0,3600,,,,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI891H3_CHOSICA, CellIndex=114, CGI=71606041249E1",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI891H2_CHOSICA, CellIndex=113, CGI=71606041249E0",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI891H1_CHOSICA, CellIndex=112, CGI=71606041249DF",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI891G3_CHOSICA, CellIndex=111, CGI=71606041222D1",Reliable,3600,0,0,0,0,0,0,,,,100
